stage,population,model,n_planets,estimate,lower,upper
gilbert_cumulative_through_qc_unavailable,thin_multis,beta_map,503,0.06451831350559438,,
gilbert_cumulative_through_grazing,all,rayleigh,1171,0.09076346491491628,0.086310760749473,0.09547454115968777
gilbert_cumulative_through_grazing,all,beta_map,1171,0.05580332725799588,,
gilbert_cumulative_through_grazing,thick_singles,rayleigh,102,0.0733640277859001,0.05631523929672967,0.09346808034821628
gilbert_cumulative_through_grazing,thick_singles,beta_map,102,0.07275404192554318,,
gilbert_cumulative_through_grazing,thin_singles,rayleigh,456,0.10363377655669542,0.09435435669219089,0.11364689697102472
gilbert_cumulative_through_grazing,thin_singles,beta_map,456,0.07154031806334103,,
gilbert_cumulative_through_grazing,thick_multis,rayleigh,124,0.14064972660546324,0.1266220695072595,0.1569953087238253
gilbert_cumulative_through_grazing,thick_multis,beta_map,124,0.07348203014250164,,
gilbert_cumulative_through_grazing,thin_multis,rayleigh,489,0.03946079569735213,0.034118946274613635,0.04544259800817195
gilbert_cumulative_through_grazing,thin_multis,beta_map,489,0.034877793022008,,
gilbert_cumulative_through_planet_radius_precision,all,rayleigh,1171,0.09076346491491628,0.086310760749473,0.09547454115968777
gilbert_cumulative_through_planet_radius_precision,all,beta_map,1171,0.05580332725799588,,
gilbert_cumulative_through_planet_radius_precision,thick_singles,rayleigh,102,0.0733640277859001,0.05631523929672967,0.09346808034821628
gilbert_cumulative_through_planet_radius_precision,thick_singles,beta_map,102,0.07275404192554318,,
gilbert_cumulative_through_planet_radius_precision,thin_singles,rayleigh,456,0.10363377655669542,0.09435435669219089,0.11364689697102472
gilbert_cumulative_through_planet_radius_precision,thin_singles,beta_map,456,0.07154031806334103,,
gilbert_cumulative_through_planet_radius_precision,thick_multis,rayleigh,124,0.14064972660546324,0.1266220695072595,0.1569953087238253
gilbert_cumulative_through_planet_radius_precision,thick_multis,beta_map,124,0.07348203014250164,,
gilbert_cumulative_through_planet_radius_precision,thin_multis,rayleigh,489,0.03946079569735213,0.034118946274613635,0.04544259800817195
gilbert_cumulative_through_planet_radius_precision,thin_multis,beta_map,489,0.034877793022008,,
gilbert_cumulative_through_density_asymmetry,all,rayleigh,1165,0.09070185263342807,0.08625493560250272,0.09540416519144684
gilbert_cumulative_through_density_asymmetry,all,beta_map,1165,0.05578021770552424,,
gilbert_cumulative_through_density_asymmetry,thick_singles,rayleigh,101,0.07292911703115622,0.055973002787187004,0.09291687210697509
gilbert_cumulative_through_density_asymmetry,thick_singles,beta_map,101,0.07298809614302353,,
gilbert_cumulative_through_density_asymmetry,thin_singles,rayleigh,451,0.10347135042541068,0.09421818924880399,0.11346505493166403
gilbert_cumulative_through_density_asymmetry,thin_singles,beta_map,451,0.07146893063247904,,
gilbert_cumulative_through_density_asymmetry,thick_multis,rayleigh,124,0.14064972660546324,0.1266220695072595,0.1569953087238253
gilbert_cumulative_through_density_asymmetry,thick_multis,beta_map,124,0.07348203014250164,,
gilbert_cumulative_through_density_asymmetry,thin_multis,rayleigh,489,0.03946079569735213,0.034118946274613635,0.04544259800817195
gilbert_cumulative_through_density_asymmetry,thin_multis,beta_map,489,0.034877793022008,,
gilbert_cumulative_through_importance_viability,all,rayleigh,1164,0.06965648181351977,0.0653819763166238,0.07419953483437389
gilbert_cumulative_through_importance_viability,all,beta_map,1164,0.04868687114504138,,
gilbert_cumulative_through_importance_viability,thick_singles,rayleigh,101,0.07292911703115622,0.055973002787187004,0.09291687210697509
gilbert_cumulative_through_importance_viability,thick_singles,beta_map,101,0.07298809614302353,,
gilbert_cumulative_through_importance_viability,thin_singles,rayleigh,451,0.10347135042541068,0.09421818924880399,0.11346505493166403
gilbert_cumulative_through_importance_viability,thin_singles,beta_map,451,0.07146893063247904,,
gilbert_cumulative_through_importance_viability,thick_multis,rayleigh,123,0.04071665548145285,0.030491918561655312,0.053383988540849414
gilbert_cumulative_through_importance_viability,thick_multis,beta_map,123,0.03782663923717033,,
gilbert_cumulative_through_importance_viability,thin_multis,rayleigh,489,0.03946079569735213,0.034118946274613635,0.04544259800817195
gilbert_cumulative_through_importance_viability,thin_multis,beta_map,489,0.034877793022008,,
