target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,catalog_planets,mean_depth_ppm,runtime_proxy,shard_id
48,K06168,7974634,thin,multi,0.062,1,K06168.02,75.072964,75.072964,7.1,1,K06168.02,75.072964,75.072964,7.1,not_in_previous_592_target_launch,2,113.65,2.85,0
37,K02696,11071200,thin,multi,0.0487,2,"K02696.02,K02696.01",44.5643831,96.4562198,54.6,2,"K02696.02,K02696.01",44.5643831,96.4562198,54.6,not_in_previous_592_target_launch,2,655.5,2.5,0
11,K02524,7515762,thick,single,0.9999,1,K02524.01,40.9905002,40.9905002,15.4,1,K02524.01,40.9905002,40.9905002,15.4,previously_launched_no_usable_result,1,297.3,1.55,0
20,K07506,12016243,thick,single,0.7128,1,K07506.01,11.8436119,11.8436119,10.4,1,K07506.01,11.8436119,11.8436119,10.4,previously_launched_no_usable_result,1,199.3,1.55,0
21,K07991,10198225,thick,single,0.7503,1,K07991.01,11.9451376,11.9451376,12.4,1,K07991.01,11.9451376,11.9451376,12.4,previously_launched_no_usable_result,1,63.3,1.55,0
73,K02016,8492026,thin,single,0.0677,1,K02016.01,4.30656389,4.30656389,39.8,1,K02016.01,4.30656389,4.30656389,39.8,previously_launched_no_usable_result,1,257.0,1.55,0
93,K03008,9070666,thin,single,0.0587,1,K03008.01,2.99792926,2.99792926,16.0,1,K03008.01,2.99792926,2.99792926,16.0,previously_launched_no_usable_result,1,45.4,1.55,0
115,K04833,10584140,thin,single,0.0488,1,K04833.01,4.31724247,4.31724247,11.3,1,K04833.01,4.31724247,4.31724247,11.3,previously_launched_no_usable_result,1,59.0,1.55,0
10,K02516,7294743,thick,single,0.522,1,K02516.01,2.81043228,2.81043228,17.8,1,K02516.01,2.81043228,2.81043228,17.8,not_in_previous_592_target_launch,1,47.4,1.35,0
14,K04267,7450747,thick,single,0.9982,1,K04267.01,2.20829637,2.20829637,12.0,1,K04267.01,2.20829637,2.20829637,12.0,not_in_previous_592_target_launch,1,87.9,1.35,0
15,K04523,8700895,thick,single,0.9999,1,K04523.01,5.68251605,5.68251605,9.4,1,K04523.01,5.68251605,5.68251605,9.4,not_in_previous_592_target_launch,1,81.2,1.35,0
17,K04793,6220312,thick,single,1.0,1,K04793.01,5.2736268,5.2736268,8.7,1,K04793.01,5.2736268,5.2736268,8.7,not_in_previous_592_target_launch,1,86.1,1.35,0
18,K05046,4164511,thick,single,0.808,1,K05046.01,40.9882124,40.9882124,11.3,1,K05046.01,40.9882124,40.9882124,11.3,not_in_previous_592_target_launch,1,145.8,1.35,0
39,K03226,5544450,thin,multi,0.0642,1,K03226.02,6.93650854,6.93650854,11.3,1,K03226.02,6.93650854,6.93650854,11.3,not_in_previous_592_target_launch,1,88.7,1.35,0
51,K00107,11250587,thin,single,0.1944,1,K00107.01,7.256962446,7.256962446,168.3,1,K00107.01,7.256962446,7.256962446,168.3,not_in_previous_592_target_launch,1,463.2,1.35,0
56,K00393,3964109,thin,single,0.0869,1,K00393.01,21.41624083,21.41624083,42.7,1,K00393.01,21.41624083,21.41624083,42.7,not_in_previous_592_target_launch,1,314.5,1.35,0
60,K00673,7124613,thin,single,0.0504,1,K00673.01,4.41746257,4.41746257,22.6,1,K00673.01,4.41746257,4.41746257,22.6,not_in_previous_592_target_launch,1,291.0,1.35,0
63,K01117,3114811,thin,single,0.1822,1,K01117.01,11.08956602,11.08956602,38.9,1,K01117.01,11.08956602,11.08956602,38.9,not_in_previous_592_target_launch,1,148.1,1.35,0
66,K01597,5039228,thin,single,0.0479,1,K01597.01,7.79668781,7.79668781,48.5,1,K01597.01,7.79668781,7.79668781,48.5,not_in_previous_592_target_launch,1,361.3,1.35,0
69,K01852,9763348,thin,single,0.0567,1,K01852.01,15.77382794,15.77382794,30.4,1,K01852.01,15.77382794,15.77382794,30.4,not_in_previous_592_target_launch,1,313.6,1.35,0
71,K01921,7755636,thin,single,0.1042,1,K01921.01,16.00496657,16.00496657,49.8,1,K01921.01,16.00496657,16.00496657,49.8,not_in_previous_592_target_launch,1,377.5,1.35,0
76,K02138,5022828,thin,single,0.0458,1,K02138.01,23.5541012,23.5541012,29.9,1,K02138.01,23.5541012,23.5541012,29.9,not_in_previous_592_target_launch,1,95.2,1.35,0
78,K02198,11075429,thin,single,0.0871,1,K02198.01,23.9210408,23.9210408,21.9,1,K02198.01,23.9210408,23.9210408,21.9,not_in_previous_592_target_launch,1,158.3,1.35,0
80,K02370,5385304,thin,single,0.0508,1,K02370.01,78.7327023,78.7327023,19.1,1,K02370.01,78.7327023,78.7327023,19.1,not_in_previous_592_target_launch,1,495.8,1.35,0
86,K02706,9697131,thin,single,0.08,1,K02706.01,3.09756897,3.09756897,14.6,1,K02706.01,3.09756897,3.09756897,14.6,not_in_previous_592_target_launch,1,83.3,1.35,0
90,K02914,6837283,thin,single,0.4195,1,K02914.01,21.1181653,21.1181653,26.3,1,K02914.01,21.1181653,21.1181653,26.3,not_in_previous_592_target_launch,1,112.7,1.35,0
91,K02956,8801316,thin,single,0.2373,1,K02956.01,3.93766786,3.93766786,16.8,1,K02956.01,3.93766786,3.93766786,16.8,not_in_previous_592_target_launch,1,24.3,1.35,0
94,K03125,8751796,thin,single,0.0725,1,K03125.01,4.45342418,4.45342418,16.3,1,K03125.01,4.45342418,4.45342418,16.3,not_in_previous_592_target_launch,1,46.6,1.35,0
96,K03190,5985713,thin,single,0.106,1,K03190.01,8.95294046,8.95294046,13.0,1,K03190.01,8.95294046,8.95294046,13.0,not_in_previous_592_target_launch,1,44.0,1.35,0
99,K03439,4282191,thin,single,0.0763,1,K03439.01,41.7084063,41.7084063,24.3,1,K03439.01,41.7084063,41.7084063,24.3,not_in_previous_592_target_launch,1,330.0,1.35,0
101,K03468,5213404,thin,single,0.0518,1,K03468.01,20.7057153,20.7057153,13.5,1,K03468.01,20.7057153,20.7057153,13.5,not_in_previous_592_target_launch,1,115.9,1.35,0
104,K03943,7679812,thin,single,0.0521,1,K03943.01,38.5763483,38.5763483,76.3,1,K03943.01,38.5763483,38.5763483,76.3,not_in_previous_592_target_launch,1,282.1,1.35,0
108,K04341,6792908,thin,single,0.0723,1,K04341.01,10.778313,10.778313,12.5,1,K04341.01,10.778313,10.778313,12.5,not_in_previous_592_target_launch,1,90.7,1.35,0
111,K04443,5780855,thin,single,0.0646,1,K04443.01,5.67577999,5.67577999,11.2,1,K04443.01,5.67577999,5.67577999,11.2,not_in_previous_592_target_launch,1,51.2,1.35,0
116,K04963,3101178,thin,single,0.0447,1,K04963.01,59.4037839,59.4037839,17.0,1,K04963.01,59.4037839,59.4037839,17.0,not_in_previous_592_target_launch,1,123.5,1.35,0
119,K05406,7625138,thin,single,0.2021,1,K05406.01,5.71966537,5.71966537,11.3,1,K05406.01,5.71966537,5.71966537,11.3,not_in_previous_592_target_launch,1,19.1,1.35,0
121,K05497,8279146,thin,single,0.1213,1,K05497.01,93.359737,93.359737,8.1,1,K05497.01,93.359737,93.359737,8.1,not_in_previous_592_target_launch,1,38.3,1.35,0
124,K05895,11407847,thin,single,0.0512,1,K05895.01,11.8307724,11.8307724,12.4,1,K05895.01,11.8307724,11.8307724,12.4,not_in_previous_592_target_launch,1,136.0,1.35,0
129,K06342,3547178,thin,single,0.0446,1,K06342.01,8.1770751,8.1770751,10.6,1,K06342.01,8.1770751,8.1770751,10.6,not_in_previous_592_target_launch,1,44.3,1.35,0
131,K07072,8624860,thin,single,0.0543,1,K07072.01,15.3902613,15.3902613,9.4,1,K07072.01,15.3902613,15.3902613,9.4,not_in_previous_592_target_launch,1,76.8,1.35,0
133,K07546,3965201,thin,single,0.0657,1,K07546.01,44.113873,44.113873,6.6,1,K07546.01,44.113873,44.113873,6.6,not_in_previous_592_target_launch,1,196.3,1.35,0
135,K07593,8444868,thin,single,0.0464,1,K07593.01,67.412998,67.412998,6.2,1,K07593.01,67.412998,67.412998,6.2,not_in_previous_592_target_launch,1,126.1,1.35,0
139,K08035,10862759,thin,single,0.0467,1,K08035.01,29.4856392,29.4856392,9.3,1,K08035.01,29.4856392,29.4856392,9.3,not_in_previous_592_target_launch,1,105.0,1.35,0
141,K08082,12602999,thin,single,0.1312,1,K08082.01,8.2766028,8.2766028,10.0,1,K08082.01,8.2766028,8.2766028,10.0,not_in_previous_592_target_launch,1,73.1,1.35,0
13,K04189,9897364,thick,single,0.9964,1,K04189.01,64.2729088,64.2729088,27.4,1,K04189.01,64.2729088,64.2729088,27.4,previously_launched_no_usable_result,1,1213.9,1.2,0
57,K00501,4951877,thin,single,0.0571,1,K00501.01,24.7962801,24.7962801,43.6,1,K00501.01,24.7962801,24.7962801,43.6,previously_launched_no_usable_result,1,574.4,1.2,0
125,K05934,11811382,thin,single,0.0576,1,K05934.01,19.3854894,19.3854894,2.7,1,K05934.01,19.3854894,19.3854894,2.7,previously_launched_no_usable_result,1,4560.0,1.2,0
132,K07415,11182260,thin,single,0.4372,1,K07415.01,1.291964282,1.291964282,45.8,1,K07415.01,1.291964282,1.291964282,45.8,previously_launched_no_usable_result,1,28640.0,1.2,0
5,K00097,5780885,thick,single,0.998,1,K00097.01,4.885488596,4.885488596,2590.1,1,K00097.01,4.885488596,4.885488596,2590.1,not_in_previous_592_target_launch,1,7458.4,1.0,0
49,K00004,3861595,thin,single,0.0475,1,K00004.01,3.849371737,3.849371737,132.7,1,K00004.01,3.849371737,3.849371737,132.7,not_in_previous_592_target_launch,1,1298.6,1.0,0
54,K00155,8030148,thin,single,0.0857,1,K00155.01,5.660669429,5.660669429,201.1,1,K00155.01,5.660669429,5.660669429,201.1,not_in_previous_592_target_launch,1,737.8,1.0,0
58,K00611,6309763,thin,single,0.0587,1,K00611.01,3.251659087,3.251659087,466.2,1,K00611.01,3.251659087,3.251659087,466.2,not_in_previous_592_target_launch,1,4747.9,1.0,0
64,K01154,10295951,thin,single,0.0448,1,K01154.01,6.810823723,6.810823723,1441.9,1,K01154.01,6.810823723,6.810823723,1441.9,not_in_previous_592_target_launch,1,14447.0,1.0,0
74,K02042,9111849,thin,single,0.0482,1,K02042.01,63.0732241,63.0732241,30.0,1,K02042.01,63.0732241,63.0732241,30.0,not_in_previous_592_target_launch,1,671.3,1.0,0
81,K02401,10336951,thin,single,0.0461,1,K02401.01,38.2292037,38.2292037,21.0,1,K02401.01,38.2292037,38.2292037,21.0,not_in_previous_592_target_launch,1,605.8,1.0,0
84,K02577,12257999,thin,single,0.0426,1,K02577.01,18.55581565,18.55581565,33.2,1,K02577.01,18.55581565,18.55581565,33.2,not_in_previous_592_target_launch,1,565.9,1.0,0
103,K03728,7515679,thin,single,0.0435,1,K03728.01,5.546083089,5.546083089,56.4,1,K03728.01,5.546083089,5.546083089,56.4,not_in_previous_592_target_launch,1,2211.0,1.0,0
126,K06068,9418619,thin,single,0.0427,1,K06068.01,6.150251376,6.150251376,471.0,1,K06068.01,6.150251376,6.150251376,471.0,not_in_previous_592_target_launch,1,2128.7,1.0,0
