target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,catalog_planets,mean_depth_ppm,runtime_proxy,shard_id
24,K00094,6462863,thin,multi,0.1353,4,"K00094.04,K00094.02,K00094.01,K00094.03",3.743166733,54.31996151,1118.9,4,"K00094.04,K00094.02,K00094.01,K00094.03",3.743166733,54.31996151,1118.9,not_in_previous_592_target_launch,4,2122.8500000000004,5.5,0
26,K00238,7219825,thin,multi,0.0492,2,"K00238.01,K00238.02",17.23232894,26.6951944,64.1,2,"K00238.01,K00238.02",17.23232894,26.6951944,64.1,not_in_previous_592_target_launch,3,301.0,4.35,0
35,K02243,4770617,thin,multi,0.0471,3,"K02243.01,K02243.02,K02243.03",5.18560081,31.4452709,27.6,3,"K02243.01,K02243.02,K02243.03",5.18560081,31.4452709,27.6,not_in_previous_592_target_launch,3,347.4666666666667,4.35,0
42,K03425,9117416,thin,multi,0.274,3,"K03425.02,K03425.03,K03425.01",3.15722086,20.034708,22.9,3,"K03425.02,K03425.03,K03425.01",3.15722086,20.034708,22.9,not_in_previous_592_target_launch,3,81.66666666666667,4.35,0
2,K02175,9022166,thick,multi,0.8953,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2,previously_launched_no_usable_result,2,310.25,3.0500000000000003,0
4,K05475,8105398,thick,multi,0.6535,1,K05475.02,5.68325648,5.68325648,10.0,1,K05475.02,5.68325648,5.68325648,10.0,not_in_previous_592_target_launch,2,196.60000000000002,2.85,0
28,K00317,8121310,thin,multi,0.1301,2,"K00317.02,K00317.01",11.505879,22.20809549,92.7,2,"K00317.02,K00317.01",11.505879,22.20809549,92.7,not_in_previous_592_target_launch,2,256.5,2.85,0
32,K01525,7869917,thin,multi,0.0826,2,"K01525.01,K01525.02",7.71467686,11.8061737,33.3,2,"K01525.01,K01525.02",7.71467686,11.8061737,33.3,not_in_previous_592_target_launch,2,161.0,2.85,0
33,K01932,5202905,thin,multi,0.0461,2,"K01932.02,K01932.01",14.8444836,22.8245144,15.9,2,"K01932.02,K01932.01",14.8444836,22.8245144,15.9,not_in_previous_592_target_launch,2,250.3,2.85,0
36,K02610,2305866,thin,multi,0.0448,1,K02610.01,24.1073172,24.1073172,23.6,1,K02610.01,24.1073172,24.1073172,23.6,not_in_previous_592_target_launch,2,134.3,2.85,0
38,K03209,7017274,thin,multi,0.0532,2,"K03209.02,K03209.01",6.77067637,11.91256675,27.8,2,"K03209.02,K03209.01",6.77067637,11.91256675,27.8,not_in_previous_592_target_launch,2,94.44999999999999,2.85,0
43,K03496,7517261,thin,multi,0.0752,2,"K03496.02,K03496.01",8.5433774,23.2385587,15.5,2,"K03496.02,K03496.01",8.5433774,23.2385587,15.5,not_in_previous_592_target_launch,2,118.14999999999999,2.85,0
45,K04773,7906892,thin,multi,0.4214,2,"K04773.01,K04773.02",8.8493948,11.1438086,12.1,2,"K04773.01,K04773.02",8.8493948,11.1438086,12.1,not_in_previous_592_target_launch,2,42.75,2.85,0
