kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
7047363,K02432.01,thin,single,multi,2,31.0572947,15.8,1.85,0.043181221938411,direct,koi_count_gt1_catalog
9827149,K02586.01,thin,single,multi,2,2.131945045,22.9,1.66,0.0387918052771196,direct,koi_count_gt1_catalog
12208631,K02449.01,thin,single,multi,2,53.3580444,19.7,3.41,0.0527269917683791,direct,koi_count_gt1_catalog
4665571,K02393.01,thin,single,multi,2,4.60300256,22.2,1.32,0.0364207247435909,direct,koi_count_gt1_catalog
7584650,K02631.01,thin,single,multi,2,44.9977604,21.4,1.59,0.1690747111832609,direct,koi_count_gt1_catalog
6364215,K02404.01,thick,single,multi,2,2.10081629,15.3,1.65,0.8516959557650667,direct,koi_count_gt1_catalog
9092504,K02716.02,thin,single,multi,2,6.46004728,17.0,1.8,0.0379121487026378,direct,koi_count_gt1_catalog
10098844,K02964.01,thin,single,multi,2,47.4497134,16.9,1.61,0.0353548274480123,direct,koi_count_gt1_catalog
5184911,K02719.01,thin,single,multi,2,4.11585514,20.8,1.93,0.0455383699900009,direct,koi_count_gt1_catalog
4367854,K02876.01,thin,single,multi,2,5.1952021,17.7,1.37,0.0344732420312855,direct,koi_count_gt1_catalog
5642620,K02882.01,thin,single,multi,2,75.8580035,16.1,2.72,0.0370209404483862,direct,koi_count_gt1_catalog
6436029,K02828.01,thin,single,multi,2,59.4969009,23.2,2.92,0.0454810708778015,direct,koi_count_gt1_catalog
9475552,K02694.02,thin,single,multi,2,6.56606941,25.8,1.83,0.0834167311266802,direct,koi_count_gt1_catalog
9959492,K03051.01,thick,single,multi,2,11.682369,11.2,1.45,0.7523715094590222,direct,koi_count_gt1_catalog
10545066,K00337.01,thin,single,multi,2,19.7830259,41.8,2.1,0.0918044488619189,direct,koi_count_gt1_catalog
1717722,K03145.01,thick,single,multi,2,4.53702121,15.7,1.66,0.999328341752168,direct,koi_count_gt1_catalog
8558011,K00577.01,thin,single,multi,2,39.6766071,24.9,2.29,0.0685674754997155,direct,koi_count_gt1_catalog
9478990,K00423.01,thin,single,multi,2,21.0871953,556.2,14.43,0.036139972404427,direct,koi_count_gt1_catalog
3559935,K00492.01,thin,single,multi,2,29.9111886,50.8,2.9,0.03559117593603,direct,koi_count_gt1_catalog
10718726,K00600.01,thin,single,multi,2,3.595769013,45.9,2.39,0.0396422764453231,direct,koi_count_gt1_catalog
12470954,K00439.01,thin,single,multi,2,1.902208647,363.2,4.45,0.0491070354083388,direct,koi_count_gt1_catalog
4914423,K00108.01,thin,single,multi,2,15.96532718,144.2,3.33,0.0795530415191607,direct,koi_count_gt1_catalog
9588822,K04388.02,thin,single,multi,2,61.858947,9.1,2.47,0.118366751706324,direct,koi_count_gt1_catalog
5966154,K00655.01,thin,single,multi,2,25.6721559,78.4,2.68,0.0358684514973412,direct,koi_count_gt1_catalog
10610039,K04577.02,thick,single,multi,2,3.07365139,9.6,0.79,0.8917103910647705,direct,koi_count_gt1_catalog
10972902,K04692.02,thin,single,multi,2,7.6720844,8.4,0.72,0.1858952896363225,direct,koi_count_gt1_catalog
9873254,K00717.01,thick,single,multi,2,14.70749512,36.3,2.04,0.5717075430784553,direct,koi_count_gt1_catalog
12016267,K02590.02,thin,single,multi,2,22.7909233,19.4,1.38,0.2882243681022523,direct,koi_count_gt1_catalog
9936080,K04431.01,thin,single,multi,2,19.5650801,13.8,0.97,0.1287258238268957,direct,koi_count_gt1_catalog
4919550,K04766.01,thin,single,multi,2,5.56676609,12.0,1.12,0.3943670853633232,direct,koi_count_gt1_catalog
12401132,K04829.01,thick,single,multi,2,7.630545,11.3,2.26,0.7359828957334644,direct,koi_count_gt1_catalog
7692093,K03337.01,thin,single,multi,2,11.16622885,13.6,1.56,0.057810274460487,direct,koi_count_gt1_catalog
5308663,K01562.02,thin,single,multi,2,20.0679247,13.8,2.25,0.0639468799186747,direct,koi_count_gt1_catalog
2581316,K03681.02,thin,single,multi,2,10.51421162,21.6,1.25,0.0450108309477504,direct,koi_count_gt1_catalog
8494410,K03685.02,thick,single,multi,2,7.2593226,40.1,1.57,0.9943266682536608,direct,koi_count_gt1_catalog
8257205,K01986.02,thin,single,multi,2,7.12766417,16.0,1.21,0.0437129486330045,direct,koi_count_gt1_catalog
4947556,K03936.02,thin,single,multi,2,13.0267964,11.4,2.08,0.066633558789066,direct,koi_count_gt1_catalog
10407086,K04568.02,thin,single,multi,2,48.04066636,,,0.3099991605831751,direct,koi_count_gt1_catalog
9145861,K06194.01,thick,single,multi,2,42.294739,25.2,140.14,0.7658010073481318,direct,koi_count_gt1_catalog
3747817,K04103.02,thin,single,multi,2,14.2378417,10.5,1.1,0.0727477678387541,direct,koi_count_gt1_catalog
8620565,K01250.02,thin,single,multi,2,1.213672208,24.8,697.14,0.1758242609714069,direct,koi_count_gt1_catalog
5816144,K06137.01,thin,single,multi,2,12.4970599,10.6,1.44,0.058094694426284,direct,koi_count_gt1_catalog
12885212,K02184.02,thin,single,multi,2,95.906433,11.0,2.17,0.0345177068021805,direct,koi_count_gt1_catalog
7835312,K06164.01,thin,single,multi,2,29.5126153,9.4,1.84,0.0383686177847955,direct,koi_count_gt1_catalog
6768616,K06765.01,thin,single,multi,2,13.05609,10.8,1.3,0.0776379434315152,direct,koi_count_gt1_catalog
2854181,K02232.02,thin,single,multi,2,12.834857,9.4,1.73,0.2387431770570816,direct,koi_count_gt1_catalog
6964929,K02756.02,thin,single,multi,2,5.06993245,11.6,0.92,0.0636644530194761,direct,koi_count_gt1_catalog
2861126,K04957.02,thin,single,multi,2,4.98792404,9.7,0.73,0.0569457093939454,direct,koi_count_gt1_catalog
7935997,K05447.02,thin,single,multi,2,3.87594316,14.2,0.68,0.0737429178911451,direct,koi_count_gt1_catalog
7373451,K00881.01,thin,single,multi,2,21.02250608,62.4,3.07,0.0929317242203308,direct,raw_confirmed_candidate_count_gt1
8490993,K00911.01,thin,single,multi,2,4.093578461,36.4,2.85,0.1440401686715712,direct,raw_confirmed_candidate_count_gt1
8559644,K00139.02,thin,single,multi,2,3.341799486,48.8,1.67,0.0380581252045982,direct,raw_confirmed_candidate_count_gt1
1871056,K01001.01,thin,single,multi,2,40.8065333,54.8,3.71,0.0660998437367414,direct,raw_confirmed_candidate_count_gt1
6607286,K01239.02,thick,single,multi,2,3.17405898,29.2,2.09,0.6189291159363527,direct,raw_confirmed_candidate_count_gt1
7303287,K01353.02,thin,single,multi,3,34.5439452,23.4,2.67,0.047952141244379,direct,raw_confirmed_candidate_count_gt1
9896558,K01718.01,thin,single,multi,2,67.6690554,37.2,3.39,0.208393431233014,direct,raw_confirmed_candidate_count_gt1
11337372,K01650.01,thick,single,multi,2,6.53194024,39.6,3.09,0.9304023952311616,direct,raw_confirmed_candidate_count_gt1
7939330,K01581.01,thick,single,multi,2,29.5422566,39.5,3.15,0.9975827860177974,direct,raw_confirmed_candidate_count_gt1
8692861,K00172.01,thick,single,multi,2,13.7223682,97.9,2.23,0.6473619407664287,direct,raw_confirmed_candidate_count_gt1
9663113,K00179.01,thick,single,multi,2,20.74028645,155.3,4.24,0.9816852819847428,direct,raw_confirmed_candidate_count_gt1
7703955,K01707.01,thin,single,multi,2,96.109323,28.7,4.01,0.0519383349438238,direct,raw_confirmed_candidate_count_gt1
7898352,K01486.02,thick,single,multi,2,30.1837021,37.9,3.65,0.9993712024148385,direct,raw_confirmed_candidate_count_gt1
9650808,K01970.01,thick,single,multi,2,21.96401646,26.9,2.57,0.7056457782796478,direct,raw_confirmed_candidate_count_gt1
8804845,K02039.01,thin,single,multi,2,5.42586901,26.1,1.48,0.0500728633658312,direct,raw_confirmed_candidate_count_gt1
2975770,K01788.01,thick,single,multi,2,71.52543938,111.3,5.76,1.0,direct,raw_confirmed_candidate_count_gt1
9839821,K02012.01,thin,single,multi,2,34.8536903,27.0,2.4,0.0346875514277763,direct,raw_confirmed_candidate_count_gt1
5942808,K02250.01,thin,single,multi,2,2.935362067,38.0,3.15,0.046613611171255,direct,raw_confirmed_candidate_count_gt1
4142847,K02210.01,thin,single,multi,2,2.888904439,23.7,1.68,0.0410531127642531,direct,raw_confirmed_candidate_count_gt1
11560897,K02365.01,thin,single,multi,2,35.9682692,21.0,2.95,0.0507057776039017,direct,raw_confirmed_candidate_count_gt1
9517393,K02076.01,thin,single,multi,2,56.7769831,33.6,3.21,0.0983876675882683,direct,raw_confirmed_candidate_count_gt1
9351316,K02078.01,thin,single,multi,2,18.78429232,23.8,2.14,0.0436516595194216,direct,raw_confirmed_candidate_count_gt1
4173026,K02172.01,thin,single,multi,2,10.44087398,22.2,3.41,0.0428685404349355,direct,raw_confirmed_candidate_count_gt1
12208631,K02449.01,thin,single,multi,2,53.3580444,19.7,3.41,0.0527269917683791,direct,raw_confirmed_candidate_count_gt1
4665571,K02393.01,thin,single,multi,2,4.60300256,22.2,1.32,0.0364207247435909,direct,raw_confirmed_candidate_count_gt1
9092504,K02716.02,thin,single,multi,2,6.46004728,17.0,1.8,0.0379121487026378,direct,raw_confirmed_candidate_count_gt1
