target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
112,K04482,7778427,thin,single,0.0663,1,K04482.01,5.38299284,5.38299284,10.7,1,K04482.01,5.38299284,5.38299284,10.7,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
113,K04747,8047428,thin,single,0.0669,1,K04747.01,92.263742,92.263742,12.2,1,K04747.01,92.263742,92.263742,12.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
114,K04818,9459162,thin,single,0.0595,1,K04818.01,3.79892774,3.79892774,8.3,1,K04818.01,3.79892774,3.79892774,8.3,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
115,K04833,10584140,thin,single,0.0488,1,K04833.01,4.31724247,4.31724247,11.3,1,K04833.01,4.31724247,4.31724247,11.3,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
116,K04963,3101178,thin,single,0.0447,1,K04963.01,59.4037839,59.4037839,17.0,1,K04963.01,59.4037839,59.4037839,17.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
117,K04977,3425363,thin,single,0.1477,1,K04977.01,25.5338535,25.5338535,8.3,1,K04977.01,25.5338535,25.5338535,8.3,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
118,K05178,5551240,thin,single,0.0492,1,K05178.01,4.13960513,4.13960513,11.6,1,K05178.01,4.13960513,4.13960513,11.6,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
119,K05406,7625138,thin,single,0.2021,1,K05406.01,5.71966537,5.71966537,11.3,1,K05406.01,5.71966537,5.71966537,11.3,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
120,K05411,7672215,thin,single,0.0828,1,K05411.01,11.1734401,11.1734401,9.0,1,K05411.01,11.1734401,11.1734401,9.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
121,K05497,8279146,thin,single,0.1213,1,K05497.01,93.359737,93.359737,8.1,1,K05497.01,93.359737,93.359737,8.1,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
122,K05568,8745553,thin,single,0.3267,1,K05568.01,62.134919,62.134919,10.6,1,K05568.01,62.134919,62.134919,10.6,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
123,K05748,9993683,thin,single,0.0451,1,K05748.01,29.9371143,29.9371143,11.6,1,K05748.01,29.9371143,29.9371143,11.6,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
124,K05895,11407847,thin,single,0.0512,1,K05895.01,11.8307724,11.8307724,12.4,1,K05895.01,11.8307724,11.8307724,12.4,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
125,K05934,11811382,thin,single,0.0576,1,K05934.01,19.3854894,19.3854894,2.7,1,K05934.01,19.3854894,19.3854894,2.7,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
126,K06068,9418619,thin,single,0.0427,1,K06068.01,6.150251376,6.150251376,471.0,1,K06068.01,6.150251376,6.150251376,471.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
127,K06102,3545840,thin,single,0.0727,1,K06102.01,54.2916336,54.2916336,7.9,1,K06102.01,54.2916336,54.2916336,7.9,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
128,K06301,2994092,thin,single,0.0577,1,K06301.01,50.271927,50.271927,9.3,1,K06301.01,50.271927,50.271927,9.3,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
129,K06342,3547178,thin,single,0.0446,1,K06342.01,8.1770751,8.1770751,10.6,1,K06342.01,8.1770751,8.1770751,10.6,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
130,K06949,8007675,thin,single,0.0633,1,K06949.01,2.352446342,2.352446342,7.2,1,K06949.01,2.352446342,2.352446342,7.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
131,K07072,8624860,thin,single,0.0543,1,K07072.01,15.3902613,15.3902613,9.4,1,K07072.01,15.3902613,15.3902613,9.4,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
132,K07415,11182260,thin,single,0.4372,1,K07415.01,1.291964282,1.291964282,45.8,1,K07415.01,1.291964282,1.291964282,45.8,previously_launched_no_usable_result,thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
133,K07546,3965201,thin,single,0.0657,1,K07546.01,44.113873,44.113873,6.6,1,K07546.01,44.113873,44.113873,6.6,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
134,K07572,6876575,thin,single,0.0449,1,K07572.01,91.069934,91.069934,8.7,1,K07572.01,91.069934,91.069934,8.7,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
135,K07593,8444868,thin,single,0.0464,1,K07593.01,67.412998,67.412998,6.2,1,K07593.01,67.412998,67.412998,6.2,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
136,K07780,6451368,thin,single,0.0958,1,K07780.01,5.3360574,5.3360574,7.0,1,K07780.01,5.3360574,5.3360574,7.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
137,K07882,8364232,thin,single,0.0434,1,K07882.01,65.415183,65.415183,8.9,1,K07882.01,65.415183,65.415183,8.9,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
138,K08007,10403228,thin,single,0.0707,1,K08007.01,67.176626864,67.176626864,5.9,1,K08007.01,67.176626864,67.176626864,5.9,previously_launched_no_usable_result,thin_singles,D_prior_failed_snr_lt_20,canonical_run_then_seeded_retry_and_visual_qc
139,K08035,10862759,thin,single,0.0467,1,K08035.01,29.4856392,29.4856392,9.3,1,K08035.01,29.4856392,29.4856392,9.3,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
140,K08052,11358305,thin,single,0.0751,1,K08052.01,7.8687123,7.8687123,9.1,1,K08052.01,7.8687123,7.8687123,9.1,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
141,K08082,12602999,thin,single,0.1312,1,K08082.01,8.2766028,8.2766028,10.0,1,K08082.01,8.2766028,8.2766028,10.0,not_in_previous_592_target_launch,thin_singles,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
