target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
25,K00152,8394721,thin,multi,0.0711,4,"K00152.03,K00152.02,K00152.01,K00152.04",13.48457668,81.0637895,243.5,4,"K00152.03,K00152.02,K00152.01,K00152.04",13.48457668,81.0637895,243.5,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
26,K00238,7219825,thin,multi,0.0492,2,"K00238.01,K00238.02",17.23232894,26.6951944,64.1,2,"K00238.01,K00238.02",17.23232894,26.6951944,64.1,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
27,K00285,6196457,thin,multi,0.1961,3,"K00285.01,K00285.02,K00285.03",13.74883059,49.3567907,167.6,3,"K00285.01,K00285.02,K00285.03",13.74883059,49.3567907,167.6,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
28,K00317,8121310,thin,multi,0.1301,2,"K00317.02,K00317.01",11.505879,22.20809549,92.7,2,"K00317.02,K00317.01",11.505879,22.20809549,92.7,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
29,K00649,5613330,thin,multi,0.0446,2,"K00649.02,K00649.01",10.2090268,23.44970494,67.9,2,"K00649.02,K00649.01",10.2090268,23.44970494,67.9,previously_launched_no_usable_result,thin_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
30,K00972,11013201,thin,multi,0.0543,2,"K00972.02,K00972.01",7.82187328,13.118962443,267.4,2,"K00972.02,K00972.01",7.82187328,13.118962443,267.4,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
31,K01221,3640905,thin,multi,0.1105,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3,2,"K01221.01,K01221.02",30.1599411,51.0771048,32.3,previously_launched_no_usable_result,thin_multis,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
32,K01525,7869917,thin,multi,0.0826,2,"K01525.01,K01525.02",7.71467686,11.8061737,33.3,2,"K01525.01,K01525.02",7.71467686,11.8061737,33.3,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
33,K01932,5202905,thin,multi,0.0461,2,"K01932.02,K01932.01",14.8444836,22.8245144,15.9,2,"K01932.02,K01932.01",14.8444836,22.8245144,15.9,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
34,K02011,5384079,thin,multi,0.0949,2,"K02011.01,K02011.02",7.05675145,17.2653659,25.2,2,"K02011.01,K02011.02",7.05675145,17.2653659,25.2,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
35,K02243,4770617,thin,multi,0.0471,3,"K02243.01,K02243.02,K02243.03",5.18560081,31.4452709,27.6,3,"K02243.01,K02243.02,K02243.03",5.18560081,31.4452709,27.6,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
36,K02610,2305866,thin,multi,0.0448,1,K02610.01,24.1073172,24.1073172,23.6,1,K02610.01,24.1073172,24.1073172,23.6,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
37,K02696,11071200,thin,multi,0.0487,2,"K02696.02,K02696.01",44.5643831,96.4562198,54.6,2,"K02696.02,K02696.01",44.5643831,96.4562198,54.6,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
38,K03209,7017274,thin,multi,0.0532,2,"K03209.02,K03209.01",6.77067637,11.91256675,27.8,2,"K03209.02,K03209.01",6.77067637,11.91256675,27.8,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
39,K03226,5544450,thin,multi,0.0642,1,K03226.02,6.93650854,6.93650854,11.3,1,K03226.02,6.93650854,6.93650854,11.3,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
40,K03341,5621333,thin,multi,0.2975,2,"K03341.02,K03341.01",11.5474983,27.0965146,16.4,2,"K03341.02,K03341.01",11.5474983,27.0965146,16.4,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
41,K03398,3561464,thin,multi,0.3682,3,"K03398.03,K03398.01,K03398.02",4.32710579,35.8007112,25.0,3,"K03398.03,K03398.01,K03398.02",4.32710579,35.8007112,25.0,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
42,K03425,9117416,thin,multi,0.274,3,"K03425.02,K03425.03,K03425.01",3.15722086,20.034708,22.9,3,"K03425.02,K03425.03,K03425.01",3.15722086,20.034708,22.9,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
43,K03496,7517261,thin,multi,0.0752,2,"K03496.02,K03496.01",8.5433774,23.2385587,15.5,2,"K03496.02,K03496.01",8.5433774,23.2385587,15.5,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
44,K03500,6058816,thin,multi,0.0781,2,"K03500.02,K03500.01",4.7482669,73.7502765,33.9,2,"K03500.02,K03500.01",4.7482669,73.7502765,33.9,not_in_previous_592_target_launch,thin_multis,A_never_attempted_snr_ge_20,canonical_run
45,K04773,7906892,thin,multi,0.4214,2,"K04773.01,K04773.02",8.8493948,11.1438086,12.1,2,"K04773.01,K04773.02",8.8493948,11.1438086,12.1,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
46,K04913,5769810,thin,multi,0.0498,2,"K04913.01,K04913.02",6.78788113,8.97377221,9.4,2,"K04913.01,K04913.02",6.78788113,8.97377221,9.4,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
47,K06118,4739229,thin,multi,0.0429,1,K06118.02,4.66185924,4.66185924,15.8,1,K06118.02,4.66185924,4.66185924,15.8,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
48,K06168,7974634,thin,multi,0.062,1,K06168.02,75.072964,75.072964,7.1,1,K06168.02,75.072964,75.072964,7.1,not_in_previous_592_target_launch,thin_multis,B_never_attempted_snr_lt_20,canonical_run_then_visual_qc
49,K00004,3861595,thin,single,0.0475,1,K00004.01,3.849371737,3.849371737,132.7,1,K00004.01,3.849371737,3.849371737,132.7,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
50,K00012,5812701,thin,single,0.0494,1,K00012.01,17.855221681,17.855221681,915.7,1,K00012.01,17.855221681,17.855221681,915.7,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
51,K00107,11250587,thin,single,0.1944,1,K00107.01,7.256962446,7.256962446,168.3,1,K00107.01,7.256962446,7.256962446,168.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
52,K00131,7778437,thin,single,0.0475,1,K00131.01,5.014234733,5.014234733,794.3,1,K00131.01,5.014234733,5.014234733,794.3,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
