koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file
K02109,11499228,K02109.01,19.7919389,0,19.79291857999999,4.9498940196794625e-05,thick,single,0.4031149160132641,0.6856033026061624,0.8138220559306848,0.4809720885332761,0.4183619449768178,0.7621101998505323,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02109_K02109_01_eomega_posterior.npz
K02135,9904006,K02135.03,8.48651582,0,8.484890638928574,0.00019150156623701136,thick,multi,0.04694514837904253,0.19541548208110981,0.5334588689903599,1.1795666592419942,1.033262257827022,1.8580005985553065,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02135_K02135_03_eomega_posterior.npz
K02135,9904006,K02135.02,20.1890396,1,20.190309999999954,6.292523196363646e-05,thick,multi,0.059933211828347537,0.19894255800048558,0.5249058971814976,1.0410032011581518,0.8975060423938483,1.62627767529584,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02135_K02135_02_eomega_posterior.npz
K02135,9904006,K02135.01,55.1866213,2,55.1854718583333,2.082826669980838e-05,thick,multi,0.048825195276609036,0.17506802810578337,0.5082839532360159,1.0641703743111726,0.9337869595576915,1.716702016524179,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02135_K02135_01_eomega_posterior.npz
K02148,6021193,K02148.03,3.61460279,0,3.610656448333335,0.001091777408456321,thick,multi,0.08451150237210812,0.2541558901693742,0.5607506108902643,0.9623184765661309,0.8172878459493087,1.5117731546136806,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02148_K02148_03_eomega_posterior.npz
K02148,6021193,K02148.02,7.54235832,1,7.54409054000007,0.00022966556699870872,thick,multi,0.052164967580309224,0.18227837775195718,0.5136002484168718,1.0573619149565934,0.9219916211592809,1.6863122227162062,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02148_K02148_02_eomega_posterior.npz
K02148,6021193,K02148.01,11.93205399,2,11.93258486000002,4.449108263043864e-05,thick,multi,0.04185306698170399,0.18424159595875175,0.5245429578225644,1.172560312212655,1.0304217660611277,1.8742620621637427,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02148_K02148_01_eomega_posterior.npz
K02154,12505076,K02154.01,11.92979348,0,11.927843244999963,0.00016347600679823268,thick,single,0.08425594378917815,0.2651078156947569,0.5848300266395415,1.2760727843511641,1.0841904288670292,1.9725505219205584,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02154_K02154_01_eomega_posterior.npz
K02209,8168187,K02209.01,18.3027235,0,18.301964979999866,4.144301257312823e-05,thick,multi,0.042502806408263386,0.18627641882762597,0.5246936078888473,1.1708909685123765,1.0141917230819673,1.8190059422299416,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02209_K02209_01_eomega_posterior.npz
K02209,8168187,K02209.02,35.502865,1,35.51553501999996,0.00035687317065704363,thick,multi,0.057373699693172894,0.20754652183925318,0.5365623468691856,1.1314479796025108,0.932765790064395,1.7964133851935962,3999,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02209_K02209_02_eomega_posterior.npz
K02256,9112931,K02256.01,10.71253475,0,10.713640520000013,0.00010322206889578543,thick,single,0.07868945764057321,0.22421990012965914,0.5431141586589955,0.9917915331962728,0.8615331330350477,1.5959209241073808,3999,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02256_K02256_01_eomega_posterior.npz
