population,selection_mode,impact_width_threshold,n,n_primary_qc_excluded_before_fit,expected_e,expected_e_lo,expected_e_hi,boundary_flag
thick_singles,legacy_forward_norm,0.4,18,0,0.31209112429473324,0.2755274933791505,0.3558018418287402,False
thick_singles,manuscript_reciprocal,0.4,18,0,0.3492455054501158,0.2967295924070116,0.42432745577314857,False
thin_singles,legacy_forward_norm,0.4,114,5,0.3326119342351737,0.31666285752927165,0.3497900260860643,False
thin_singles,manuscript_reciprocal,0.4,114,5,0.4030094557934151,0.37508943099161796,0.43553150672506286,False
thick_multis,legacy_forward_norm,0.4,14,0,0.2479608774041069,0.19272196776397152,0.3079184982528597,False
thick_multis,manuscript_reciprocal,0.4,14,0,0.3611563798526001,0.25931376036868553,0.6017516805339935,False
thin_multis,legacy_forward_norm,0.4,61,5,0.2142385408332243,0.1949978850650101,0.2355902883586129,False
thin_multis,manuscript_reciprocal,0.4,61,5,0.23644526543146285,0.2124508887636815,0.2647974050850477,False
