population,impact_width_class,impact_width_threshold,n,median_impact_width,median_abs_delta_log10_rho,median_rho_circular_width_dex,median_planet_e50
thick_multi,constrained,0.4,14,0.2890172426262584,0.5580025554569779,0.43072497058614506,0.38514750248186513
thick_multi,broad,0.4,195,0.6258275376101692,0.16707000736108304,0.6119844983888999,0.2418956125940072
thick_single,constrained,0.4,18,0.1173462709132338,0.19132879568652641,0.08835670122631467,0.2578522231947129
thick_single,broad,0.4,251,0.6670544848599668,0.2210048719707503,0.7328731929279161,0.2898343875460193
thin_multi,constrained,0.4,66,0.25205168494028857,0.15593991051867442,0.25553562621949505,0.22981738421911696
thin_multi,broad,0.4,812,0.6231439813714769,0.15955306876210051,0.6394598490875654,0.2369559568247952
thin_single,constrained,0.4,119,0.09861924787202937,0.2676687291309633,0.07643472565435823,0.2969888891432181
thin_single,broad,0.4,990,0.6632742633945887,0.21937120854545109,0.7226122119934287,0.2966214896035728
