population,n,status,selection_mode,outlier_floor,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,expected_e_model,expected_e_model_lo,expected_e_model_hi,expected_e_model_map,expected_e_truncated,expected_e_truncated_lo,expected_e_truncated_hi,expected_e_truncated_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,sigma_near_grid_lower_edge,sigma_near_grid_upper_edge,sigma_map_index,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge,posterior_mass_in_lower_1pct,posterior_mass_in_upper_1pct
thick_singles,268,ok,manuscript_reciprocal,0.0,0.16607925973268506,0.15479502874699308,0.1780947239547489,0.1656662331165583,0.20814948413786705,0.19400679791476566,0.22320863531378826,0.20763183204078778,0.20815577236614233,0.19401360437115864,0.2232140521882961,0.20763814084542428,0.20815577236614233,0.19401360437115864,0.2232140521882961,0.20763814084542428,38.72150655060172,True,False,False,False,False,331,False,0.0,8.62196538357716e-71,0.0,2.1007459107290187e-69
thin_singles,1104,ok,manuscript_reciprocal,0.0,0.18488934024317846,0.17930764003790672,0.19064408927611626,0.18517403701850926,0.23172442396571122,0.2247288001881873,0.23893693228539484,0.23208123845908143,0.23172873248463657,0.22473407131858447,0.2389394285300655,0.23208548176958968,0.23172873248463657,0.22473407131858447,0.2389394285300655,0.23208548176958968,110.2275173795804,True,False,False,False,False,370,False,0.0,5.434235920264138e-262,0.0,2.620911765872253e-260
thick_multis,209,ok,manuscript_reciprocal,0.0,0.10649437597189035,0.09659698059020888,0.1173676492194593,0.10564222111055528,0.13347090695016228,0.12106636139569975,0.14709853403023485,0.1324028892152689,0.1334808086647585,0.12107727789827102,0.14710751823214407,0.13241287077444058,0.1334808086647585,0.12107727789827102,0.14710751823214407,0.13241287077444058,70.45452909636674,True,False,False,False,False,211,False,0.0,3.801009964383871e-72,6.7592544088095364e-223,8.918883559527639e-71
thin_multis,873,ok,manuscript_reciprocal,0.0,0.07497928952526067,0.07010844174401007,0.08180432744430334,0.07412961480740371,0.0939726035678812,0.08786790118292799,0.10252652007953174,0.09290769423187151,0.09398666890955852,0.08788294413255666,0.1025394114256812,0.0929219207354428,0.09398666890955852,0.08788294413255666,0.1025394114256812,0.0929219207354428,370.268371190778,True,False,False,False,False,148,False,0.0,0.0,7.775027965476499e-145,0.0
