population,n,median_delta_log10_rho,median_abs_delta_log10_rho,median_rho_circular_width_dex,median_planet_e50,mean_planet_e50
thick_multi,193,-0.053618748978271256,0.1683512204880795,0.5977847655513243,0.2355155291920733,0.29648328769197263
thick_single,218,0.10918327198994715,0.18758178815704404,0.6751119033062831,0.2784526343808632,0.3341937267268023
thin_multi,824,-0.018945577395327665,0.1535926157504921,0.6092527601494644,0.2325172750017861,0.2851017053732173
thin_single,889,0.09533274916812415,0.19576633199661558,0.6598926996616046,0.2859064188725733,0.3328635903274948
