population,n_planets,n_hosts,expected_e_full,host_bootstrap_e16,host_bootstrap_e50,host_bootstrap_e84,leave10_hosts_trials,leave10_hosts_pass_fraction_5pct,leave10_hosts_p95_absolute_fractional_shift,leave10_hosts_max_absolute_fractional_shift,largest_single_host_absolute_fractional_shift,largest_single_host,robust_under_5pct_contract,direct_fit_expected_e
thick_singles,108,108,0.31609684215168576,0.28482995374854503,0.3172087164491877,0.34447730741830407,2000,0.8995,0.06259245763480625,0.16652998858336615,0.05286224570556231,K04943,False,0.31609684215168576
thin_singles,304,304,0.3422997721051392,0.32583676669278583,0.34317754198579936,0.3583981559804944,2000,0.996,0.030136389866737556,0.06083690105305071,0.01449203698815654,K04921,False,0.3422997721051392
thick_multis,69,28,0.12085307002655851,0.0744677755634565,0.11793519654299067,0.18674852942445624,2000,0.337,0.3500494754664915,0.5140994783728634,0.3276922359177595,K01992,False,0.1208530700265585
thin_multis,222,101,0.12360045310904513,0.10183020851645197,0.12313949337023578,0.143146878016627,2000,0.6375,0.11158782630553749,0.3094267607483929,0.09178172778727069,K02857,False,0.12360045310904501
