population,n,status,selection_mode,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge
thick_singles,61,ok,manuscript_reciprocal,0.1893377122041047,0.16466845659605886,0.21749428329548418,0.1861744372186093,0.23729963143237792,0.20638130462176438,0.27258866003953275,0.23333505417284003,3.774152656074316,True,False,False,False,1.5837082802951951e-215,2.69968019626768e-16
thin_singles,211,ok,manuscript_reciprocal,0.2683058734453926,0.25300359656164734,0.2850835550705094,0.26720685342671335,0.336271544313894,0.31709298436237987,0.3572992498860314,0.33489412698729054,-31.36192404950166,True,False,False,False,0.0,2.387060737890812e-29
thick_multis,53,ok,manuscript_reciprocal,0.07683279118676643,0.05773448068399554,0.10163534302994653,0.07062821410705353,0.09629562340378414,0.07235944085182026,0.12738101227034238,0.08851933923371623,24.808001252906102,True,False,False,False,9.185768593355463e-07,4.0837223848270074e-22
thin_multis,198,ok,manuscript_reciprocal,0.08741103602440803,0.07547458807219626,0.10025550082870566,0.08663461730865434,0.10955348720678507,0.09459336823894739,0.12565163653226263,0.10858039065385461,76.29340226721895,True,False,False,False,4.0041896648671927e-41,1.1573083497534985e-70
