population,n,status,selection_mode,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge
thick_singles,108,ok,manuscript_reciprocal,0.22948736839450343,0.20989753185462898,0.25122039903502424,0.22769104552276137,0.28761976314416143,0.26306754406103705,0.31485807769263713,0.28536840629382393,-10.421562329137782,True,False,False,False,0.0,6.797571155109777e-21
thin_singles,304,ok,manuscript_reciprocal,0.26757760073100706,0.2546012265992823,0.2815653424717264,0.2667066533266633,0.33535878982513345,0.31909531667474766,0.3528898242978951,0.3342672191304112,-50.79791864108094,True,False,False,False,0.0,1.885188979929043e-40
thick_multis,69,ok,manuscript_reciprocal,0.09316855292886651,0.0688660694134534,0.12258146898884013,0.08763501750875438,0.11676946453897584,0.08631081837723169,0.1536330880566149,0.10983420636761325,23.84334500124528,True,False,False,False,7.594376059392659e-09,1.134506075120347e-23
thin_multis,222,ok,manuscript_reciprocal,0.09696155841734694,0.08632346494814001,0.10856373446336608,0.09613841920960481,0.12152329194060364,0.10819041900156291,0.13606446320270268,0.12049163993456176,76.73693494992725,True,False,False,False,6.157636513866709e-46,5.009927550760705e-75
