population,n_planets,n_hosts,expected_e_full,host_bootstrap_e16,host_bootstrap_e50,host_bootstrap_e84,leave10_hosts_trials,leave10_hosts_pass_fraction_5pct,leave10_hosts_p95_absolute_fractional_shift,leave10_hosts_max_absolute_fractional_shift,largest_single_host_absolute_fractional_shift,largest_single_host,robust_under_5pct_contract,direct_fit_expected_e
thick_singles,108,108,0.28761976314416143,0.25162969010052266,0.2867095610073938,0.3195778994405876,5000,0.8358,0.08290768109427284,0.28271962576557486,0.08418600332963945,K04943,False,0.28761976314416143
thin_singles,304,304,0.33535878982513345,0.313372342354287,0.33494918786297645,0.35668345409666313,5000,0.9752,0.04089289464202988,0.11670292428348654,0.02519643090129318,K04921,False,0.33535878982513345
thick_multis,69,28,0.11676946453897585,0.0719647559469465,0.11206263909472064,0.18065835733989843,5000,0.3194,0.34791555123487916,0.5105551433559269,0.343381456308295,K01992,False,0.11676946453897584
thin_multis,222,101,0.12152329194060367,0.09876490588346261,0.12007190724028455,0.1390672134043576,5000,0.676,0.10725541510686253,0.331953004069079,0.08840037945547193,K02857,False,0.12152329194060364
