population,n,status,selection_mode,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge
thick_singles,40,ok,manuscript_reciprocal,0.15639435939582016,0.13216886848584278,0.18517352880119184,0.1521608304152076,0.19601126162718263,0.1656491113862998,0.2320806015031327,0.19070531990504602,10.267009716386648,True,False,False,False,1.2404299863448927e-50,3.8924574503369965e-15
thin_singles,108,ok,manuscript_reciprocal,0.2089708018817443,0.19125852702692783,0.2287547006086264,0.20718284142071036,0.26190606028454666,0.23970701580498732,0.2867015002501661,0.25966518416177164,1.6746942350647496,True,False,False,False,0.0,6.5307216103566355e-25
thick_multis,49,ok,manuscript_reciprocal,0.11977018703698371,0.08381130967373727,0.1583479515867092,0.11764702351175589,0.15010966864237335,0.10504189928102226,0.198459726338573,0.14744867778037268,14.306434428270833,True,False,False,False,9.254067388256679e-09,2.3792847218559355e-16
thin_multis,158,ok,manuscript_reciprocal,0.09998740711780323,0.08843658524058214,0.11276746828891633,0.09913961980990496,0.12531563089426323,0.11083882253792889,0.14133306223577619,0.1242530870758377,58.40762271994299,True,False,False,False,3.0728544881595905e-45,2.915033514489596e-57
