population,n,status,selection_mode,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge
thick_singles,26,ok,manuscript_reciprocal,0.030977300030949024,0.006304277676412777,0.07341638140362877,0.0001,0.038824288064652296,0.007901240337410645,0.09201378872371473,0.00012533141373155,11.801221723138083,True,True,False,True,0.010990409405471649,1.6626992409028622e-12
thin_singles,49,ok,manuscript_reciprocal,0.017925850490756012,0.0036235893726986623,0.049163898305898734,0.00310120060030015,0.022466721843468505,0.004541495788629437,0.061617808792324445,0.0038867785550074935,27.483241684177692,True,False,False,True,0.013699176065706371,2.9490833517861296e-23
thick_multis,29,ok,manuscript_reciprocal,0.10123262991013655,0.07095820853629838,0.1400400543127839,0.09213681840920461,0.1268762862240021,0.08893292591712415,0.17551417986064255,0.11547637707952717,13.174742996430885,True,False,False,False,5.343607908573261e-07,7.371153955824421e-13
thin_multis,127,ok,manuscript_reciprocal,0.08626525384772755,0.07219374955121421,0.10164176287512659,0.08513401700850426,0.10811746220646729,0.09048144693835132,0.1273890583530659,0.10669966708321663,51.991326688071354,True,False,False,False,3.376699616583294e-36,2.842305062868531e-48
