population,n,status,selection_mode,outlier_floor,sigma_rayleigh,sigma_rayleigh_lo,sigma_rayleigh_hi,sigma_map,expected_e,expected_e_lo,expected_e_hi,expected_e_map,expected_e_model,expected_e_model_lo,expected_e_model_hi,expected_e_model_map,expected_e_truncated,expected_e_truncated_lo,expected_e_truncated_hi,expected_e_truncated_map,ll_max,transit_selection_applied,sigma_at_grid_lower_edge,sigma_at_grid_upper_edge,sigma_near_grid_lower_edge,sigma_near_grid_upper_edge,sigma_map_index,boundary_flag,posterior_mass_at_lower_edge,posterior_mass_at_upper_edge,posterior_mass_in_lower_1pct,posterior_mass_in_upper_1pct
thick_singles,269,ok,manuscript_reciprocal,0.0,0.03438980310362947,0.013982305303894446,0.062291780050784486,0.0121048024012006,0.04310122640927527,0.01752422090963241,0.07807116857619584,0.015171119978835324,0.0431319216743053,0.017600169204257204,0.0780881006320275,0.015259030523246342,0.0431319216743053,0.017600169204257204,0.0780881006320275,0.015259030523246342,32.1696125638578,True,False,False,False,False,24,True,5.903743258546025e-11,2.0992546616931215e-67,0.029117329025785975,4.904549980671927e-66
thin_singles,1109,ok,manuscript_reciprocal,0.0,0.03785825317541501,0.024918643191648847,0.048387167649690636,0.04211680840420211,0.04744828391881705,0.031230887794814137,0.06064432128001249,0.05278559139159477,0.04747616117968977,0.03127329542001765,0.060666124200987166,0.05281064427941458,0.04747616117968977,0.03127329542001765,0.060666124200987166,0.05281064427941458,158.58776045972493,True,False,False,False,False,84,False,4.130171698301e-311,3.627739162748433e-281,4.313032244786737e-05,1.4636865780536322e-279
thick_multis,209,ok,manuscript_reciprocal,0.0,0.00792861206183296,0.004839284302983513,0.020018185880335226,0.005602201100550276,0.009937041586385446,0.0060651434314182235,0.025089075367233666,0.007021317839404114,0.010073083710598368,0.00629729082095981,0.025141927468741512,0.007218030859630635,0.010073083710598368,0.00629729082095981,0.025141927468741512,0.007218030859630635,89.660513619506,True,False,False,True,False,11,True,2.6269617051383333e-14,2.21298351147676e-78,0.6147089052648488,5.121711644939294e-77
thin_multis,878,ok,manuscript_reciprocal,0.0,0.019501102206775426,0.014921263792956272,0.024856541606062214,0.01910760380190095,0.024441007088986135,0.018701030858325998,0.031153054999648704,0.023947829975145857,0.024495271467381462,0.01877214120254101,0.03119556927772393,0.0240032137434903,0.024495271467381462,0.01877214120254101,0.03119556927772393,0.0240032137434903,352.3423474162847,True,False,False,False,False,38,False,1.6742523503071926e-12,8.537407485905e-311,0.008877860369397863,3.34536516982356e-309
