branch,population,n,frac_sigma_p10,frac_sigma_p50,frac_sigma_p90,frac_over_unity,med_e50,med_e16
B18_KG_LOGG,thick_single,269,0.3139785974819533,1.6980700440459406,1.744614285194001,0.5799256505576208,0.4312634075724598,0.1366379491525404
B18_KG_LOGG,thin_single,1109,0.3127836466310958,1.695409933407818,1.7394816491386256,0.5365193868349865,0.429867120911207,0.1342324894981761
B18_KG_LOGG,thick_multi,209,0.3126708459186284,0.3227974192467398,1.6990465323576078,0.1339712918660287,0.306858564613298,0.0919068809140648
B18_KG_LOGG,thin_multi,878,0.31176898404612013,0.31925218507040704,1.698022333604461,0.1275626423690205,0.31691068762523084,0.09754162141621735
BERGER2020_canonical,thick_single,275,0.08234218966630091,0.12331048332289092,0.19760707313657971,0.0,,
BERGER2020_canonical,thin_single,1121,0.06531305526474725,0.10351421666793438,0.18030177408595688,0.0,,
BERGER2020_canonical,thick_multi,212,0.07144963260755133,0.10765108724236616,0.1555607769440375,0.0,,
BERGER2020_canonical,thin_multi,883,0.059566214352901055,0.08669618757582163,0.13570910834579486,0.0,,
