model,source_order,target_order,rmse,mean_abs_error
half_gaussian,thin_multis|thick_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.030797459237118158,0.028899387345192477
half_gaussian,thick_singles|thin_multis|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.03108135729762344,0.028899387345192477
half_gaussian,thick_multis|thin_singles|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.0314370721844192,0.02289938734519248
half_gaussian,thick_singles|thick_multis|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.0315983951185421,0.028899387345192477
half_gaussian,thick_multis|thin_singles|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.03162917447704612,0.022899387345192476
half_gaussian,thick_multis|thin_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.03239292056830602,0.02489938734519248
half_gaussian,thick_multis|thick_singles|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.032672221516161816,0.024899387345192474
half_gaussian,thick_multis|thin_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.03440116370630543,0.028899387345192477
half_gaussian,thick_multis|thick_singles|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.03448909464792527,0.028899387345192477
monotonic_beta,thin_singles|thin_multis|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.010768188485438713,0.008829462479653168
monotonic_beta,thin_singles|thick_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.011036551099541382,0.009329462479653168
monotonic_beta,thin_singles|thick_multis|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.011436063071260476,0.008829462479653168
monotonic_beta,thin_singles|thick_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.011898669418132647,0.009329462479653168
monotonic_beta,thin_singles|thick_multis|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.012417320412603542,0.01082946247965317
monotonic_beta,thin_singles|thin_multis|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.012614795466695639,0.01082946247965317
monotonic_beta,thick_singles|thin_multis|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.013128078762936658,0.01258896706284874
monotonic_beta,thick_singles|thin_singles|thick_multis|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.013489163558349988,0.01308896706284874
monotonic_beta,thick_singles|thick_multis|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.013681231937138601,0.01258896706284874
monotonic_beta,thick_singles|thin_singles|thin_multis|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.014203182997241649,0.01308896706284874
monotonic_beta,thick_singles|thick_multis|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.015020666873011214,0.014588967062848741
monotonic_beta,thick_singles|thin_multis|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.015184322564648077,0.014588967062848741
monotonic_beta,thin_multis|thick_singles|thick_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.01630863828293216,0.013202938425103151
monotonic_beta,thin_multis|thin_singles|thick_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.016423494976000572,0.013202938425103151
monotonic_beta,thin_multis|thick_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.017272986675731353,0.014702938425103153
monotonic_beta,thin_multis|thin_singles|thick_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.017689272699445445,0.015202938425103153
monotonic_beta,thin_multis|thick_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.017702940067479616,0.014702938425103153
monotonic_beta,thin_multis|thick_singles|thin_singles|thick_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.018005245968465207,0.015202938425103153
monotonic_beta,thick_multis|thick_singles|thin_multis|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.018970841651131377,0.013202938425103151
monotonic_beta,thick_multis|thin_singles|thin_multis|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.01906967061948099,0.013202938425103151
monotonic_beta,thick_multis|thin_multis|thick_singles|thin_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.01942800977189534,0.014702938425103153
monotonic_beta,thick_multis|thin_singles|thick_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.019673806067838258,0.015202938425103153
monotonic_beta,thick_multis|thin_multis|thin_singles|thick_singles,thick_singles|thick_multis|thin_singles|thin_multis,0.01981124887607147,0.014702938425103153
monotonic_beta,thick_multis|thick_singles|thin_singles|thin_multis,thick_singles|thick_multis|thin_singles|thin_multis,0.01995838567982131,0.015202938425103153
