target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
0,K00179,9663113,thick,multi,0.7701024151744995,1,K00179.01,20.74028645,20.74028645,155.3,1,K00179.01,20.74028645,20.74028645,155.3
1,K00277,11401755,thick,multi,0.7093993194083915,2,"K00277.02,K00277.01",13.84984567,16.23191704,194.9,2,"K00277.01,K00277.02",13.84984567,16.23191704,194.9
2,K00392,3942670,thick,multi,0.9283356523227932,2,"K00392.02,K00392.01",12.6119685,33.4160553,29.3,2,"K00392.01,K00392.02",12.6119685,33.4160553,29.3
3,K00665,6685609,thick,multi,0.996104945138534,3,"K00665.02,K00665.03,K00665.01",1.61189046,5.868066282,97.6,3,"K00665.01,K00665.02,K00665.03",1.61189046,5.868066282,97.6
4,K00707,9458613,thick,multi,0.9782644991270572,5,"K00707.05,K00707.04,K00707.01,K00707.03,K00707.02",5.66815821,41.0283424,117.3,5,"K00707.01,K00707.02,K00707.03,K00707.04,K00707.05",5.66815821,41.0283424,117.3
5,K00929,9141746,thick,multi,0.737760654440881,2,"K00929.02,K00929.01",2.85188338,6.491682808,502.3,2,"K00929.01,K00929.02",2.85188338,6.491682808,502.3
6,K01127,6359320,thick,multi,0.9974530693946536,3,"K01127.03,K01127.01,K01127.02",2.83668931,8.1280933,34.1,3,"K01127.01,K01127.02,K01127.03",2.83668931,8.1280933,34.1
7,K01215,3939150,thick,multi,0.9998575104256362,2,"K01215.01,K01215.02",17.32419108,33.0063185,49.1,2,"K01215.01,K01215.02",17.32419108,33.0063185,49.1
8,K01241,6448890,thick,multi,0.9988769607940654,2,"K01241.02,K01241.01",10.5007712,21.4054422,60.9,2,"K01241.01,K01241.02",10.5007712,21.4054422,60.9
9,K01316,10794087,thick,multi,0.9263348134253612,1,K01316.01,7.64970832,7.64970832,28.5,2,"K01316.01,K01316.02",7.64970832,12.37679312,28.5
10,K01574,10028792,thick,multi,0.6941572113463322,2,"K01574.03,K01574.04",5.83393857,8.9772888,17.6,2,"K01574.03,K01574.04",5.83393857,8.9772888,17.6
11,K01788,2975770,thick,multi,1.0,1,K01788.01,71.52543938,71.52543938,111.3,1,K01788.01,71.52543938,71.52543938,111.3
12,K01929,10136549,thick,multi,0.984103720655406,2,"K01929.02,K01929.01",3.29276797,9.69315023,45.1,2,"K01929.01,K01929.02",3.29276797,9.69315023,45.1
13,K01930,5511081,thick,multi,0.9312718266569964,4,"K01930.04,K01930.01,K01930.02,K01930.03",9.34145925,44.4304059,62.5,4,"K01930.01,K01930.02,K01930.03,K01930.04",9.34145925,44.4304059,62.5
14,K01992,11450414,thick,multi,0.9408833263457952,3,"K01992.01,K01992.02,K01992.03",12.7983174,85.517344,38.2,3,"K01992.01,K01992.02,K01992.03",12.7983174,85.517344,38.2
15,K02135,9904006,thick,multi,0.9338540266827025,3,"K02135.03,K02135.02,K02135.01",8.48651582,55.1866213,36.2,3,"K02135.01,K02135.02,K02135.03",8.48651582,55.1866213,36.2
16,K02148,6021193,thick,multi,0.999983651846148,3,"K02148.03,K02148.02,K02148.01",3.61460279,11.93205399,32.3,3,"K02148.01,K02148.02,K02148.03",3.61460279,11.93205399,32.3
17,K02175,9022166,thick,multi,0.6590445425401622,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2,2,"K02175.01,K02175.02",26.8475962,72.3826983,39.2
