target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
202,K01751,9729691,thin,multi,0.0843824877741663,1,K01751.02,20.99757968,20.99757968,44.7,2,"K01751.01,K01751.02",8.689301216,20.99757968,70.9
203,K01815,9872283,thin,multi,0.0253971516373249,2,"K01815.02,K01815.01",1.74610057,3.126861192,94.6,2,"K01815.01,K01815.02",1.74610057,3.126861192,94.6
204,K01860,4157325,thin,multi,0.036366170511235,1,K01860.04,24.8434837,24.8434837,14.2,4,"K01860.01,K01860.02,K01860.03,K01860.04",3.07644709,24.8434837,61.0
205,K01915,9101496,thin,multi,0.0579046910316437,2,"K01915.01,K01915.02",6.56226483,67.844689,41.2,2,"K01915.01,K01915.02",6.56226483,67.844689,41.2
206,K01945,11656918,thin,multi,0.0375911456136565,1,K01945.02,17.1181036,17.1181036,6.1,2,"K01945.01,K01945.02",17.1181036,62.1385979,36.1
207,K02053,2307415,thin,multi,0.1671410199804006,2,"K02053.02,K02053.01",4.6126736,13.12162167,34.3,2,"K02053.01,K02053.02",4.6126736,13.12162167,34.3
208,K02061,12061969,thin,multi,0.0337661725550929,1,K02061.01,14.092583189,14.092583189,17.8,2,"K02061.02,K02061.01",1.090011003,14.092583189,17.8
209,K02086,6768394,thin,multi,0.3024238150591963,3,"K02086.01,K02086.02,K02086.03",7.1329472,11.8984948,29.6,3,"K02086.01,K02086.02,K02086.03",7.1329472,11.8984948,29.6
210,K02167,6041734,thin,multi,0.0267842091936053,1,K02167.02,6.95787,6.95787,1.8,3,"K02167.01,K02167.02,K02167.03",6.95787,76.5369531,27.8
211,K02193,8282651,thin,multi,0.1017505799308665,1,K02193.02,4.16288745,4.16288745,12.0,2,"K02193.01,K02193.02",2.361724472,4.16288745,34.6
212,K02210,4142847,thin,multi,0.0262671664368523,1,K02210.01,2.888904439,2.888904439,23.7,1,K02210.01,2.888904439,2.888904439,23.7
213,K02261,3734418,thin,multi,0.0351125612305712,1,K02261.02,6.6254781,6.6254781,2.7,2,"K02261.01,K02261.02",3.97599629,6.6254781,27.3
214,K02327,10730703,thin,multi,0.0647732855763557,1,K02327.02,46.331703,46.331703,9.4,2,"K02327.01,K02327.02",5.60013327,46.331703,22.8
215,K02352,8013439,thin,multi,0.2225049842622392,3,"K02352.02,K02352.03,K02352.01",5.62904396,13.39155154,32.2,3,"K02352.01,K02352.02,K02352.03",5.62904396,13.39155154,32.2
216,K02414,8611832,thin,multi,0.0613566878382488,2,"K02414.01,K02414.02",22.5968256,45.3486381,22.2,2,"K02414.01,K02414.02",22.5968256,45.3486381,22.2
217,K02485,11125613,thin,multi,0.0617110143880359,3,"K02485.02,K02485.03,K02485.01",3.60082855,9.99115241,17.9,3,"K02485.01,K02485.02,K02485.03",3.60082855,9.99115241,17.9
218,K02564,9026749,thin,multi,0.0262865563258655,2,"K02564.02,K02564.01",17.6637979,66.5576728,21.3,2,"K02564.01,K02564.02",17.6637979,66.5576728,21.3
219,K02593,8212002,thin,multi,0.0597272131054669,2,"K02593.02,K02593.01",9.5539134,14.7966306,22.4,2,"K02593.01,K02593.02",9.5539134,14.7966306,22.4
220,K02623,10916600,thin,multi,0.0410476089039156,2,"K02623.02,K02623.01",4.02664625,5.57654782,13.2,2,"K02623.01,K02623.02",4.02664625,5.57654782,13.2
221,K02636,6198182,thin,multi,0.0398817380800348,1,K02636.02,5.1777226,5.1777226,6.1,2,"K02636.01,K02636.02",3.88148385,5.1777226,11.9
222,K02674,8022489,thin,multi,0.1657662354887611,2,"K02674.03,K02674.02",2.53573284,11.1726723,25.5,2,"K02674.02,K02674.03",2.53573284,11.1726723,25.5
223,K02714,12206313,thin,multi,0.0315977505040584,2,"K02714.01,K02714.02",14.3832267,47.3186631,39.0,2,"K02714.01,K02714.02",14.3832267,47.3186631,39.0
224,K02715,9837661,thin,multi,0.46921183426744,3,"K02715.02,K02715.03,K02715.01",2.226496196,11.12827427,65.6,3,"K02715.01,K02715.02,K02715.03",2.226496196,11.12827427,65.6
225,K02732,9886361,thin,multi,0.1842034601668058,4,"K02732.01,K02732.02,K02732.04,K02732.03",7.03146295,54.2811949,33.8,4,"K02732.01,K02732.03,K02732.02,K02732.04",7.03146295,54.2811949,33.8
226,K02739,4831728,thin,multi,0.0344162057002834,2,"K02739.02,K02739.01",7.0956395,10.10773789,25.3,2,"K02739.01,K02739.02",7.0956395,10.10773789,25.3
227,K02748,9962455,thin,multi,0.0639991919610665,2,"K02748.02,K02748.01",5.77721259,23.1985852,28.2,2,"K02748.01,K02748.02",5.77721259,23.1985852,28.2
228,K02756,6964929,thin,multi,0.0246480603556754,1,K02756.02,5.06993245,5.06993245,11.6,1,K02756.02,5.06993245,5.06993245,11.6
229,K02768,9008737,thin,multi,0.0475728235237426,2,"K02768.01,K02768.02",11.8288843,14.7512034,9.1,2,"K02768.01,K02768.02",11.8288843,14.7512034,9.1
230,K02840,6467363,thin,multi,0.0293967405071668,2,"K02840.01,K02840.02",3.67936863,7.4464635,18.1,2,"K02840.01,K02840.02",3.67936863,7.4464635,18.1
231,K02857,6345732,thin,multi,0.0618407028395775,2,"K02857.02,K02857.01",7.44136102,20.2642023,19.9,2,"K02857.01,K02857.02",7.44136102,20.2642023,19.9
232,K02906,6716545,thin,multi,0.040964402523322,2,"K02906.01,K02906.03",13.9093544,21.9424316,15.6,2,"K02906.01,K02906.03",13.9093544,21.9424316,15.6
233,K03061,4857058,thin,multi,0.0253636049734504,1,K03061.02,77.915425,77.915425,9.2,2,"K03061.01,K03061.02",7.32851947,77.915425,14.0
234,K03088,9020114,thin,multi,0.0353025043436577,1,K03088.02,67.8766605,67.8766605,9.1,2,"K03088.01,K03088.02",3.48412874,67.8766605,13.3
235,K03097,7582689,thin,multi,0.0278034974538074,3,"K03097.02,K03097.03,K03097.01",6.80257947,11.9216035,15.1,3,"K03097.01,K03097.02,K03097.03",6.80257947,11.9216035,15.1
236,K03130,10252275,thin,multi,0.0764205324705051,2,"K03130.02,K03130.01",5.65245733,14.8638496,12.3,2,"K03130.01,K03130.02",5.65245733,14.8638496,12.3
237,K03184,4735826,thin,multi,0.21914409100346,3,"K03184.03,K03184.01,K03184.02",4.02018903,11.3220104,14.4,3,"K03184.01,K03184.02,K03184.03",4.02018903,11.3220104,14.4
238,K03283,9008103,thin,multi,0.0303344207074182,1,K03283.03,87.707513,87.707513,7.1,2,"K03283.03,K03283.02",20.5718107,87.707513,13.0
239,K03308,3632089,thin,multi,0.42932848723499,2,"K03308.02,K03308.01",5.32784157,31.7787564,25.9,2,"K03308.01,K03308.02",5.32784157,31.7787564,25.9
240,K03395,3219037,thin,multi,0.0523807018859357,2,"K03395.02,K03395.01",5.0395851,10.00506974,11.4,2,"K03395.01,K03395.02",5.0395851,10.00506974,11.4
241,K03410,9285265,thin,multi,0.0373671279492189,2,"K03410.01,K03410.02",16.5860329,61.569765,14.6,2,"K03410.01,K03410.02",16.5860329,61.569765,14.6
242,K03440,3559860,thin,multi,0.064354625682559,2,"K03440.01,K03440.02",33.0257179,58.940569,12.2,2,"K03440.01,K03440.02",33.0257179,58.940569,12.2
