target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
444,K04497,12645057,thin,single,0.4576116616377231,1,K04497.01,6.83006228,6.83006228,12.1,1,K04497.01,6.83006228,6.83006228,12.1
445,K04498,4844367,thin,single,0.0243248135264631,1,K04498.01,17.1622587,17.1622587,11.7,1,K04498.01,17.1622587,17.1622587,11.7
446,K04520,9031703,thin,single,0.0414417310036906,1,K04520.01,9.3335486,9.3335486,11.7,1,K04520.01,9.3335486,9.3335486,11.7
447,K04548,3223433,thin,single,0.436036190584098,1,K04548.01,61.083322,61.083322,11.5,1,K04548.01,61.083322,61.083322,11.5
448,K04551,11769689,thin,single,0.0309562798454206,1,K04551.01,14.7179342,14.7179342,12.7,1,K04551.01,14.7179342,14.7179342,12.7
449,K04557,10257229,thin,single,0.0283897785219767,1,K04557.01,5.75651958,5.75651958,11.2,1,K04557.01,5.75651958,5.75651958,11.2
450,K04588,8806985,thin,single,0.4091467913872747,1,K04588.01,7.53737498,7.53737498,11.3,1,K04588.01,7.53737498,7.53737498,11.3
451,K04603,8430053,thin,single,0.0301493920220683,1,K04603.01,15.9513866,15.9513866,9.2,1,K04603.01,15.9513866,15.9513866,9.2
452,K04605,12458605,thin,single,0.0333256315729174,1,K04605.01,7.7859111,7.7859111,12.0,1,K04605.01,7.7859111,7.7859111,12.0
453,K04626,3539231,thin,single,0.0719422175869527,1,K04626.01,91.95723,91.95723,12.3,1,K04626.01,91.95723,91.95723,12.3
454,K04632,6070337,thin,single,0.0444937014008746,1,K04632.01,40.0691482,40.0691482,10.5,1,K04632.01,40.0691482,40.0691482,10.5
455,K04633,5954001,thin,single,0.0282919785402615,1,K04633.01,11.6933447,11.6933447,12.7,1,K04633.01,11.6933447,11.6933447,12.7
456,K04637,9457728,thin,single,0.0285123331445384,1,K04637.01,4.37992345,4.37992345,13.9,1,K04637.01,4.37992345,4.37992345,13.9
457,K04663,7515336,thin,single,0.0286364811671883,1,K04663.01,5.65690281,5.65690281,10.4,1,K04663.01,5.65690281,5.65690281,10.4
458,K04670,9837828,thin,single,0.0271758081207048,1,K04670.01,6.80899076,6.80899076,11.5,1,K04670.01,6.80899076,6.80899076,11.5
459,K04686,5819801,thin,single,0.045607000682538,1,K04686.01,11.8299383,11.8299383,11.7,1,K04686.01,11.8299383,11.8299383,11.7
460,K04692,10972902,thin,single,0.4732266234955765,1,K04692.02,7.6720844,7.6720844,8.4,1,K04692.02,7.6720844,7.6720844,8.4
461,K04711,8355131,thin,single,0.0799316813874916,1,K04711.01,4.3638313,4.3638313,10.3,1,K04711.01,4.3638313,4.3638313,10.3
462,K04756,5695615,thin,single,0.0568519035303198,1,K04756.01,5.4169303,5.4169303,11.3,1,K04756.01,5.4169303,5.4169303,11.3
463,K04763,8349399,thin,single,0.0248676800539254,1,K04763.01,56.446465,56.446465,12.4,1,K04763.01,56.446465,56.446465,12.4
464,K04794,6358937,thin,single,0.0253206380072736,1,K04794.01,24.5041103,24.5041103,11.3,1,K04794.01,24.5041103,24.5041103,11.3
465,K04804,10676750,thin,single,0.181895005646456,1,K04804.01,21.08678557,21.08678557,11.0,1,K04804.01,21.08678557,21.08678557,11.0
466,K04811,8811490,thin,single,0.0454872717083155,1,K04811.01,21.7434141,21.7434141,15.8,1,K04811.01,21.7434141,21.7434141,15.8
467,K04833,10584140,thin,single,0.0341355940237952,1,K04833.01,4.31724247,4.31724247,11.3,1,K04833.01,4.31724247,4.31724247,11.3
468,K04834,8233326,thin,single,0.2334740293057895,1,K04834.01,3.74099144,3.74099144,12.3,1,K04834.01,3.74099144,3.74099144,12.3
469,K04839,9110610,thin,single,0.0480754808439517,1,K04839.01,21.8420304,21.8420304,9.5,1,K04839.01,21.8420304,21.8420304,9.5
470,K04840,6665860,thin,single,0.0294644894058391,1,K04840.01,10.4716194,10.4716194,11.7,1,K04840.01,10.4716194,10.4716194,11.7
471,K04859,7094944,thin,single,0.1107232974838744,1,K04859.01,7.5019743,7.5019743,9.1,1,K04859.01,7.5019743,7.5019743,9.1
472,K04864,7345248,thin,single,0.0281103528284595,1,K04864.01,5.66494448,5.66494448,11.4,1,K04864.01,5.66494448,5.66494448,11.4
473,K04886,7692248,thin,single,0.0303185320438932,1,K04886.01,17.99562529,17.99562529,12.1,1,K04886.01,17.99562529,17.99562529,12.1
474,K04890,6691169,thin,single,0.0262776923762461,1,K04890.01,63.095068,63.095068,11.4,1,K04890.01,63.095068,63.095068,11.4
475,K04892,10586744,thin,single,0.081832525173772,1,K04892.01,21.3761817,21.3761817,12.1,1,K04892.01,21.3761817,21.3761817,12.1
476,K04900,6424561,thin,single,0.040472488123284,1,K04900.01,6.6716723,6.6716723,10.3,1,K04900.01,6.6716723,6.6716723,10.3
477,K04938,2310993,thin,single,0.0411128764960314,1,K04938.01,55.180772,55.180772,11.5,1,K04938.01,55.180772,55.180772,11.5
478,K04972,3340165,thin,single,0.0905795056187663,1,K04972.01,26.092284,26.092284,12.2,1,K04972.01,26.092284,26.092284,12.2
479,K04975,3355104,thin,single,0.0823386590871371,1,K04975.01,47.0628978,47.0628978,14.5,1,K04975.01,47.0628978,47.0628978,14.5
480,K04999,3646449,thin,single,0.0507966944519577,1,K04999.01,65.752109,65.752109,9.9,1,K04999.01,65.752109,65.752109,9.9
481,K05001,3647097,thin,single,0.0259255830159624,1,K05001.01,59.9655175,59.9655175,5.5,1,K05001.01,59.9655175,59.9655175,5.5
